feature,rank,avg_rank,score_mutual_information,score_random_forest,score_f_statistic,score_variance
eda_pow_vlf,43,40.000000,0.027070,0.004750,10.697495,7792734.754306
eda_sampen,44,40.000000,0.055187,0.033855,15.265891,0.719468
st_min,45,40.250000,0.060131,0.009399,35.212646,0.709096
acc_dom_freq,46,40.750000,0.085555,0.001435,14.176318,3.783191
eda_pow_scr,47,41.250000,0.035545,0.007779,1.212036,5186556.427396
eda_scr_amp_mean,48,42.250000,0.022686,0.000000,43.472847,1309.916242
ibi_sampen,49,44.250000,0.000072,0.020833,3.990684,76.094886
acc_z_mean,50,45.750000,0.000000,0.047303,32.880320,0.865487
bvp_ptt,51,47.000000,0.058718,0.003511,6.395633,2.590183
acc_corr_yz,52,48.750000,0.030657,0.008056,4.621179,1.849298
st_mean,53,49.500000,0.034374,0.021258,16.942786,0.410348
bvp_std,54,50.250000,0.022686,0.000000,48.215328,9.175489
bvp_harm_ratio,55,50.750000,0.019862,0.002361,19.669831,2.954389
eda_kurt,56,52.750000,0.000000,0.000000,53.718628,2.465189
acc_z_zcr,57,52.750000,0.000000,0.007063,18.108330,1.659039
st_delta,58,53.750000,0.038866,0.010417,12.898584,0.462775
eda_skew,59,54.500000,0.000000,0.009543,28.640721,0.787663
acc_x_zcr,60,55.500000,0.001178,0.002409,26.114962,1.130410
ibi_sdnn,61,56.000000,0.029889,0.010417,7.023976,0.501471
bvp_spec_entropy,62,58.000000,0.016477,0.000000,15.509392,1.851364
acc_svm_sampen,63,58.250000,0.025925,0.000000,24.048008,1.742745
st_max,64,59.000000,0.075668,0.003306,0.852504,0.291816
acc_posture_trans,65,60.000000,0.000000,0.009381,9.791589,0.907077
bvp_f0,66,60.000000,0.014814,0.010417,12.066627,0.156371
acc_y_zcr,67,60.250000,0.000000,0.000000,25.237590,1.365731
ibi_sd1_sd2,68,60.750000,0.010398,0.002008,12.429133,0.934899
acc_y_mean,69,61.500000,0.000000,0.010196,4.828003,0.903855
bvp_aug_idx,70,62.000000,0.000000,0.005309,0.541194,2.976058
eda_zcr,71,62.000000,0.026939,0.006285,2.652925,0.505483
ibi_sd1,72,63.000000,0.000615,0.008276,2.004660,0.619455
ibi_pnn50,73,64.250000,0.001288,0.007591,2.975583,0.509726
bvp_hr_mean,74,64.500000,0.000000,0.006905,6.634747,0.571853
ibi_sd2,75,67.000000,0.017056,0.000000,7.421678,0.642468
eda_min,76,69.750000,0.003082,0.000000,8.168649,0.500489
ibi_lf_hf,77,71.750000,0.000000,0.004644,0.750815,0.980258
eda_scr_rise_mean,78,72.500000,0.000000,0.002361,0.914696,0.573684
ibi_rmssd,79,73.000000,0.001012,0.000000,2.015390,0.614684
ibi_hf,80,73.750000,0.002568,0.000000,1.599052,0.667505
ibi_lf,81,75.000000,0.004234,0.000000,1.441581,0.568603
st_acf1,82,75.000000,0.000000,0.000000,0.237321,1.776703
ibi_cv,83,76.000000,0.000000,0.002361,1.546832,0.549688
ibi_vlf,84,80.000000,0.000000,0.000000,0.483459,0.950663
ibi_total_pow,85,80.250000,0.000000,0.000000,1.819520,0.811133
bvp_mean,86,81.250000,0.000000,0.002571,0.192213,0.462115
ibi_hfnu,87,82.750000,0.000000,0.000000,1.091252,0.495885
ibi_lfnu,88,83.750000,0.000000,0.000000,1.091252,0.495885
ibi_dfa_alpha1,89,84.250000,0.000000,0.000000,1.495578,0.541259
bvp_resp_mod,90,86.000000,0.000000,0.000000,0.000000,0.000000
st_pow_slow,91,86.750000,0.000000,0.000000,0.000000,0.000000
st_pow_ultra_slow,92,87.250000,0.000000,0.000000,0.000000,0.000000
st_asymmetry,93,89.500000,0.000000,0.000000,0.000000,0.000000
