feature,rank,avg_rank,score_mutual_information,score_random_forest,score_f_statistic,score_variance
bvp_hr_std,79,73.750000,0.106021,0.002632,4.989274,0.451457
eda_scr_rise_mean,80,74.250000,0.000000,0.004437,2.131321,0.836175
acc_z_mean,81,74.500000,0.008876,0.000000,7.154645,2.292550
ibi_sampen,82,74.750000,0.041410,0.004255,0.795057,0.749518
ibi_hfnu,83,75.750000,0.027082,0.003230,3.622642,0.585194
ibi_hf,84,76.750000,0.086474,0.000842,4.579536,0.536824
st_acf1,85,77.000000,0.019772,0.002832,0.632618,1.200061
st_slope,86,77.250000,0.056743,0.000529,0.569415,1.844799
bvp_mean,87,77.500000,0.000000,0.003920,3.021229,0.562834
ibi_lfnu,88,80.000000,0.027360,0.000550,3.622642,0.585194
ibi_dfa_alpha1,89,82.000000,0.000000,0.002878,0.997635,0.505873
st_pow_slow,90,88.500000,0.046831,0.000000,0.000000,0.000000
st_pow_ultra_slow,91,89.000000,0.021884,0.000000,0.000000,0.000000
st_asymmetry,92,90.000000,0.000000,0.000000,0.000000,0.000000
bvp_resp_mod,93,90.500000,0.000000,0.000000,0.000000,0.000000
