feature,rank,avg_rank,score_mutual_information,score_random_forest,score_f_statistic,score_variance
ibi_cv,49,47.250000,0.175844,0.007425,14.414941,2.337940
bvp_harm_ratio,50,47.750000,0.121899,0.012328,11.769004,2.386024
acc_svm_sampen,51,48.250000,0.204699,0.009114,9.706587,2.045730
acc_corr_xz,52,48.750000,0.177329,0.005265,12.070988,10.310368
eda_scl_slope,53,49.250000,0.029663,0.020629,2.165186,15.018453
st_min,54,51.250000,0.211901,0.004038,23.375246,1.148817
ibi_sd2,55,53.500000,0.157435,0.007119,13.424823,1.257764
bvp_aug_idx,56,56.000000,0.090052,0.007992,0.069793,125.684771
acc_posture_trans,57,56.750000,0.069631,0.013293,4.427462,1.018178
st_mean,58,57.250000,0.193076,0.005866,14.280786,0.615792
ibi_sdnn,59,58.500000,0.150238,0.003149,13.677633,1.435058
st_delta,60,60.250000,0.175789,0.004466,19.435257,0.525338
bvp_sqi,61,61.750000,0.163754,0.004471,9.043142,0.975236
ibi_lf_hf,62,62.250000,0.110823,0.005276,4.984916,1.239800
eda_scr_rise_mean,63,62.500000,0.129834,0.006357,7.371503,0.688985
st_max,64,63.500000,0.083773,0.010876,2.883980,0.550506
eda_zcr,65,64.750000,0.212069,0.005531,2.595893,0.553482
bvp_f0,66,65.500000,0.268013,0.000000,9.056553,0.128381
ibi_sd1,67,65.500000,0.040349,0.006643,6.062798,0.982725
ibi_sd1_sd2,68,66.750000,0.132754,0.005093,7.828155,0.548497
bvp_hr_std,69,67.500000,0.095670,0.004396,3.675314,0.994902
st_slope,70,68.000000,0.000000,0.007386,2.122650,1.687817
ibi_vlf,71,68.750000,0.059899,0.001042,2.905845,2.642702
ibi_rmssd,72,69.000000,0.042091,0.004156,6.087442,0.986957
ibi_sampen,73,69.250000,0.071743,0.009142,1.598255,0.622049
eda_min,74,69.500000,0.098663,0.006241,3.394131,0.417885
st_rate_change,75,70.000000,0.000000,0.005932,2.122650,1.687817
ibi_hfnu,76,70.250000,0.142697,0.005057,2.871272,0.540269
acc_y_mean,77,72.500000,0.000000,0.007219,2.150346,0.763359
ibi_lf,78,72.750000,0.046123,0.000000,3.940554,1.082140
eda_skew,79,73.750000,0.078080,0.001093,4.334008,0.622730
eda_kurt,80,74.250000,0.000000,0.001283,4.211514,1.326649
ibi_total_pow,81,74.250000,0.037912,0.002246,1.201673,1.464830
ibi_lfnu,82,74.500000,0.139994,0.001102,2.871272,0.540269
ibi_dfa_alpha1,83,76.500000,0.000000,0.004678,2.111673,0.822428
ibi_pnn50,84,77.500000,0.090063,0.003399,1.981728,0.479556
st_acf1,85,79.250000,0.000000,0.002566,0.683828,1.002769
bvp_mean,86,80.250000,0.000000,0.003582,0.877905,0.687343
ibi_hf,87,80.500000,0.011269,0.003853,0.710846,0.591825
acc_x_mean,88,80.750000,0.000000,0.002060,1.687062,0.792882
acc_z_mean,89,82.250000,0.000000,0.003286,1.921428,0.613604
st_asymmetry,90,88.500000,0.033848,0.000000,0.000000,0.000000
bvp_resp_mod,91,89.250000,0.009021,0.000000,0.000000,0.000000
st_pow_slow,92,89.500000,0.005243,0.000000,0.000000,0.000000
st_pow_ultra_slow,93,89.500000,0.000000,0.000000,0.000000,0.000000
