feature,rank,avg_rank,score_mutual_information,score_random_forest,score_f_statistic,score_variance
ibi_total_pow,81,76.250000,0.050244,0.000000,0.616658,0.423414
ibi_lf_hf,82,76.750000,0.000000,0.000000,0.335657,0.991611
ibi_sd1,83,77.000000,0.001612,0.000000,3.167910,0.532214
ibi_pnn50,84,79.250000,0.012230,0.000000,0.568725,0.430650
st_rate_change,85,80.750000,0.000000,0.000000,2.274179,0.574683
st_min,86,81.000000,0.047419,0.000000,0.456464,0.348137
st_acf1,87,81.250000,0.000000,0.000000,0.461972,0.789986
st_pow_ultra_slow,88,83.000000,0.000000,0.000000,0.000000,0.000000
ibi_hfnu,89,83.750000,0.000000,0.000000,0.584741,0.454497
ibi_lfnu,90,84.250000,0.000000,0.000000,0.584741,0.454497
st_asymmetry,91,85.500000,0.010248,0.000000,0.000000,0.000000
bvp_resp_mod,92,87.000000,0.000000,0.000000,0.000000,0.000000
st_pow_slow,93,87.500000,0.006230,0.000000,0.000000,0.000000
