feature,rank,avg_rank,score_mutual_information,score_random_forest,score_f_statistic,score_variance
eda_sampen,72,65.500000,0.000000,0.000000,4.711594,0.546511
eda_scl_slope,73,66.000000,0.000000,0.000000,0.020434,0.850422
ibi_rmssd,74,66.000000,0.000000,0.000000,1.253475,0.683456
ibi_sdnn,75,67.250000,0.000000,0.000000,0.791487,0.739477
st_std,76,67.500000,0.000238,0.000000,0.051988,0.424093
ibi_lf,77,67.750000,0.000000,0.000000,0.131505,0.859145
st_range,78,69.000000,0.009031,0.000000,0.031197,0.414974
ibi_lfnu,79,69.250000,0.024157,0.000000,0.104791,0.502911
ibi_hfnu,80,69.750000,0.024157,0.000000,0.104791,0.502911
bvp_std,81,70.000000,0.013018,0.000000,1.227720,0.537893
st_slope,82,70.000000,0.000000,0.003989,0.417437,0.281447
st_rate_change,83,71.500000,0.000000,0.000000,0.417437,0.281447
bvp_notch_depth,84,72.500000,0.000000,0.000000,1.107788,0.500063
st_delta,85,73.250000,0.000000,0.000000,0.009682,0.332653
ibi_hf,86,74.750000,0.000000,0.000000,0.074200,0.566224
ibi_total_pow,87,75.750000,0.000000,0.000000,0.410244,0.581898
ibi_pnn50,88,76.750000,0.000000,0.000000,0.028562,0.558821
st_asymmetry,89,78.000000,0.000000,0.000000,0.000000,0.000000
st_pow_slow,90,79.000000,0.000000,0.000000,0.000000,0.000000
st_pow_ultra_slow,91,79.750000,0.000000,0.000000,0.000000,0.000000
ibi_sd1_sd2,92,83.000000,0.000000,0.000000,0.033985,0.503500
bvp_resp_mod,93,85.500000,0.000000,0.000000,0.000000,0.000000
